Ciudad,Periodo,?* (°C),Mediana (°C),A_opt,k_wlr,?_wlr,R²_WLR_mix,k_opt,?_opt,R²_FINAL,KS_stat,KS_pval,AD_stat,P(X>30.0°C),P(X>35.0°C),P(X>40.0°C)
CDMX,1961-1980,19.5445,19.6606,0,1.473537,6.046376,-0.181572,0.884014,0.36687,0.997188,0.0273,0.0005,11.9796,0.002817,0.000155,0.000007
,1981-2000,20.6719,20.6859,0,1.473554,6.660611,-0.442127,0.856152,0.36088,0.999262,0.0151,0.1908,3.7306,0.003743,0.000154,0.000005
,2001-2020,22.0299,22.1455,0,1.473525,5.951026,0.024465,0.879895,0.335496,0.99711,0.0227,0.0058,10.5619,0.014991,0.001087,0.000068
Chihuahua,1961-1980,30.6194,25.8829,0,1.473581,4.788754,0.356195,0.727339,0.285904,0.997771,0.0345,0.0047,9.1957,0.274804,0.027027,0.000481
,1981-2000,28.4985,25.8457,0,1.473577,7.288212,0.282329,0.730213,0.171611,0.99743,0.0339,0.0007,11.3105,0.25027,0.036374,0.0026
,2001-2020,31.0832,27.9701,0,1.473579,5.578062,0.545486,0.705357,0.187634,0.996988,0.0453,0,14.9765,0.383775,0.086433,0.004886
Guadalajara,1961-1980,25.0007,25.6045,0,1.473391,6.17563,0.43389,0.861943,0.243711,0.992431,0.0383,0,31.1143,0.122642,0.017498,0.002107
,1981-2000,25.7157,26.1878,0,1.473485,6.947153,0.133617,0.877846,0.265266,0.995569,0.0294,0.0001,15.0102,0.141235,0.019763,0.002354
,2001-2020,27.2891,27.4913,0,1.473518,6.755582,0.000414,0.869475,0.290141,0.996054,0.0288,0.0001,17.0868,0.212877,0.025386,0.002393
Monterrey,1961-1980,32.1602,27.9911,0,1.473575,4.278308,0.543672,0.674327,0.257805,0.994142,0.0476,0,19.058,0.378929,0.07423,0.001057
,1981-2000,29.7782,27.8173,0,1.473544,5.524891,0.534777,0.665553,0.175243,0.995144,0.0478,0,25.0299,0.35621,0.044433,0.001142
,2001-2020,31.9491,29.3565,0,1.473575,5.248941,0.465306,0.652146,0.195842,0.995744,0.0454,0,22.5976,0.459667,0.109691,0.002676
Phoenix,1961-1980,38.6487,29.201,0,1.473573,4.359516,0.544769,0.71154,0.268828,0.996101,0.0453,0.0008,11.1308,0.479468,0.322949,0.119433
,1981-2000,39.0925,29.5635,0,1.47358,5.799854,0.194401,0.698544,0.237008,0.998552,0.0372,0.0112,4.5578,0.486849,0.338711,0.148054
,2001-2020,39.8325,30.6753,0,1.473581,5.007682,0.319498,0.707626,0.267986,0.997451,0.0349,0.0166,7.1757,0.519633,0.365994,0.177119
